search URL:,https://patents.google.com/?q=mouse&q=trap&oq=mouse+trap
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2007043052-A1,Reverse-turn mimetics and method relating thereto ,Choongwae Pharma Corporation,"Sung Moon, Jae Chung, Sung Lee, Masakatsu Eguchi, Michael Kahn, Kwang Jeong, Cu Nguyen, Soo Lee",2001-10-12,2005-04-15,2007-02-22,,https://patents.google.com/patent/US20070043052A1/en,https://patentimages.storage.googleapis.com/76/a0/64/d1124bf230a1c9/US20070043052A1-20070222-D00001.png
US-2010137151-A1,Protein Expression Profile Database ,"Andrew Emili, Gerard Cagney","Andrew Emili, Gerard Cagney",2001-05-30,2009-11-19,2010-06-03,,https://patents.google.com/patent/US20100137151A1/en,https://patentimages.storage.googleapis.com/42/6a/0c/6cc0a45947e1a3/US20100137151A1-20100603-D00001.png
JP-6170903-B2,Monoclonal antibody against tissue factor pathway inhibitor (TFPI) ,"バイエル・ヘルスケア・エルエルシーＢａｙｅｒ ＨｅａｌｔｈＣａｒｅ ＬＬＣ, バイエル・ヘルスケア・エルエルシーＢａｙｅｒ  ＨｅａｌｔｈＣａｒｅ  ＬＬＣ","ワン・ジュオジ, ジョン・マーフィー, トビアス・マルクヴァルト, ディーター・モースマイヤー",2011-04-01,2012-03-30,2017-07-26,2017-07-26,https://patents.google.com/patent/JP6170903B2/en,https://patentimages.storage.googleapis.com/9d/7a/bb/ff92668e0661ab/0006170903-15.png
US-2007021431-A1,Reverse-turn mimetics and method relating thereto ,Choongwae Pharma Corporation,"Sung Moon, Jae Chung, Sung Lee, Masakatsu Eguchi, Michael Kahn, Kwang Jeong, Cu Nguyen",2001-10-12,2004-03-17,2007-01-25,,https://patents.google.com/patent/US20070021431A1/en,https://patentimages.storage.googleapis.com/91/0c/ab/bd5259fe9300b1/US20070021431A1-20070125-D00001.png
US-2012263722-A1,Dual Variable Domain Immunoglobulins and Uses Thereof ,Abbott Laboratories,"Tariq Ghayur, Junjian Liu, Peter C. Isakson",2010-11-04,2011-11-03,2012-10-18,,https://patents.google.com/patent/US20120263722A1/en,https://patentimages.storage.googleapis.com/93/8b/43/a2d7efe74929a7/US20120263722A1-20121018-D00000.png
JP-6305382-B2,Compstatin and its analogs for eye disorders ,"アペリス・ファーマシューティカルズ・インコーポレイテッドＡｐｅｌｌｉｓ Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ，Ｉｎｃ．, アペリス・ファーマシューティカルズ・インコーポレイテッドＡｐｅｌｌｉｓ  Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ，Ｉｎｃ．","パスカル・デシャテレ, ポール・オルソン, セドリック・フランソワ",2005-10-08,2015-09-14,2018-04-04,2018-04-04,https://patents.google.com/patent/JP6305382B2/en,https://patentimages.storage.googleapis.com/f6/fc/1c/6e87b5c1684e21/0006305382-5.png
KR-20070117533-A,Prion protein binding materials and methods of use ,"노쓰 캐롤라이나 스테이트 유니버시티, 페써겐 리무벌 앤드 다이어그너스틱 테크널라지스 인코포레이티드","패트릭 브이 거젤, 스티븐 제이 버튼, 홍글루 쉔, 바이테로즈 윌트셔-라이얼리, 루벤 지 카보넬, 데이비드 존 하몬드",2004-10-13,2005-10-13,2007-12-12,,https://patents.google.com/patent/KR20070117533A/en,https://patentimages.storage.googleapis.com/f3/d9/23/19f72d36b8efca/112007034851844-PCT00002.png
CN-102640085-B,System and method for recognizing a gesture ,"莫韦公司, 原子能和辅助替代能源委员会","E·德福拉斯, Y·卡里图, N·斯普赖恩斯齐, C·多丹, S·沙博尼耶",2009-09-29,2010-09-29,2016-07-13,2016-07-13,https://patents.google.com/patent/CN102640085B/en,
CN-102482339-B,Methods for increasing thermogenic adipocytes ,阿塞勒隆制药公司,"J·克诺普夫, J·西拉, R·库马",2009-06-08,2010-06-08,2015-06-17,2015-06-17,https://patents.google.com/patent/CN102482339B/en,
CN-1426475-A,Method and compositions to reduce or eliminate transmission of transgene ,耶鲁大学,"斯蒂芬·L·德拉波塔, 玛丽亚·A·莫雷诺",2000-02-28,2001-02-28,2003-06-25,,https://patents.google.com/patent/CN1426475A/en,
DE-69935331-T2,Method and compounds for treating depression ,"NPS Pharmaceuticals, Inc., Salt Lake City","Manuel Sandy BALANDRIN, Scott Salt Lake City MOE, Alan Salt Lake City MUELLER",1998-07-13,1999-07-12,2007-10-31,2007-10-31,https://patents.google.com/patent/DE69935331T2/en,
US-7763439-B2,Two-photon absorbing dipyrrometheneboron difluoride dyes and their applications ,Arctic Diagnostics Oy,"Niko Meltola, Aleksi Soini",2001-07-02,2002-07-01,2010-07-27,2010-07-27,https://patents.google.com/patent/US7763439B2/en,https://patentimages.storage.googleapis.com/63/e3/0c/501e14a40f5a7d/US07763439-20100727-D00000.png
KR-20010042161-A,Amide derivatives and nociceptin antagonists ,"미즈노 마사루, 니뽄 다바코 산교 가부시키가이샤","신카이히사시, 이토다카오, 야마다히데키",1998-03-26,1999-03-23,2001-05-25,,https://patents.google.com/patent/KR20010042161A/en,
US-9834787-B2,Targeted integration into stem cells ,"Sangamo Therapeutics, Inc.","Philip D. Gregory, Dirk Hockemeyer, Michael C. Holmes, Rudolf Jaenisch, Frank Soldner, Fyodor Urnov, Shuyuan Yao",2009-04-09,2010-04-08,2017-12-05,2017-12-05,https://patents.google.com/patent/US9834787B2/en,https://patentimages.storage.googleapis.com/a6/4b/63/dc2f0b2dc76a38/US09834787-20171205-D00001.png
WO-2008083323-A9,Detection apparatus ,"Invitrogen Corp, Robert Dees, Dale Dembrow, Brent Henry, Espir Kahatt, Timothy Powers, Steven Roman, Jeffrey Rossio, James Meegan","Robert Dees, Dale Dembrow, Brent Henry, Espir Kahatt, Timothy Powers, Steven Roman, Jeffrey Rossio, James Meegan",2006-12-29,2007-12-28,2008-09-12,,https://patents.google.com/patent/WO2008083323A9/en,
JP-3174323-B2,Metals for stimulating hair growth - peptide compositions and methods ,プロサイト  コーポレーション,ローレン  アール ピッカート,1989-11-13,1990-11-13,2001-06-11,2001-06-11,https://patents.google.com/patent/JP3174323B2/en,
KR-20060031809-A,Compositions and methods for treating and diagnosing cancer ,더 리젠츠 오브 더 유니버시티 오브 미시간,"루이 리우, 마이클 에프. 클라르케",2003-06-09,2004-06-09,2006-04-13,,https://patents.google.com/patent/KR20060031809A/en,https://patentimages.storage.googleapis.com/f2/ef/9c/540bce50278d0b/112005072270580-PCT00004.png
WO-2005077333-A2,Gel-based delivery of recombinant adeno-associated virus vectors ,"University Of Florida Research Foundation, Inc.","Cathryn S. Mah, Thomas J. Fraites, Jr., Barry J. Byrne",2004-02-10,2005-02-10,2005-08-25,,https://patents.google.com/patent/WO2005077333A2/en,
AU-2006236637-B2,Methods and compositions for treating or preventing cancer ,Merck Sharp & Dohme Corp.,"Walter R. Bishop, Ming Liu, Jonathan A. Pachter, Yan Wang, Yaolin Wang",2005-04-15,2006-04-14,2012-09-06,2012-09-06,https://patents.google.com/patent/AU2006236637B2/en,
US-6753420-B2,High affinity humanized anti-Tag-72 monoclonal antibodies ,The Dow Chemical Company,"W. H. Kerr Anderson, Philip R. Tempest, Frank J. Carr, William J. Harris, Kathryn Armour",1996-10-31,2001-10-31,2004-06-22,2004-06-22,https://patents.google.com/patent/US6753420B2/en,https://patentimages.storage.googleapis.com/0a/4d/0a/11c1b5c042fa96/US06753420-20040622-D00001.png
JP-2006511819-A,Its use in the unique recognition sequence and protein analysis ,イピトミ  バイオシステムズ  インコーポレイテッド,"チャン シェンシェン, メング ジュン, ダブリュー．チャン ジョン, ジェイ．ベンコビック スティーブン, ディー．リー フランク",2002-05-10,2003-05-12,2006-04-06,,https://patents.google.com/patent/JP2006511819A/en,https://patentimages.storage.googleapis.com/26/96/1e/74432376916afb/2006511819-14.png
WO-2005026690-A2,Immunoassay device with improved sample closure ,I-Stat Corporation,"Cary James Miller, Andy Maczuszenko",2003-09-10,2004-09-09,2005-03-24,,https://patents.google.com/patent/WO2005026690A2/en,
JP-4526822-B2,Thiopyrimidine and isothiazolopyrimidine kinase inhibitors ,アボット・ラボラトリーズＡｂｂｏｔｔ  Ｌａｂｏｒａｔｏｒｉｅｓ,"カーテイン，マイケル, グオー，ヤン, ダイ，ユーチエ, ダビイツドセン，ステイーブン・ケイ, チ，チーチン, フレイ，ロビン・アール, ミカエルデス，マイケル・アール",2002-03-21,2003-03-20,2010-08-18,2010-08-18,https://patents.google.com/patent/JP4526822B2/en,
US-10407666-B2,Recombinant vectors ,Tocagen Inc.,"Harry E. Gruber, Douglas J. Jolly, Omar D. Perez, Christopher R. Logg",2008-09-26,2017-08-08,2019-09-10,2019-09-10,https://patents.google.com/patent/US10407666B2/en,https://patentimages.storage.googleapis.com/c4/c1/a9/28cf4c6ffbd690/US10407666-20190910-D00001.png
CA-2356779-C,Cytokine receptor chain ,"Genetics Institute, Inc., Mary Collins, Debra Donaldson, Lori Fitz, Tamlyn Neben, Matthew J. Whitters, Clive Wood, Marsha Wills-Karp, Johns Hopkins University, Genetics Institute, Llc.","Mary Collins, Debra Donaldson, Lori Fitz, Tamlyn Neben, Matthew J. Whitters, Clive Wood, Marsha Wills-Karp",1998-12-14,1999-12-13,2012-03-13,2012-03-13,https://patents.google.com/patent/CA2356779C/en,
WO-2008147382-A1,Integrated microfluidic assay devices and methods ,"Micronics, Inc.","C. Frederick Battrell, John Gerdes, Wayne L. Breidford, Jason Capodanno, Stephen Mordue, John Clemmens, Denise Maxine Hoekstra, Christy A. Lancaster, John R. Williford, Patrick Maloney, Joan Haab",2006-09-27,2007-09-27,2008-12-04,,https://patents.google.com/patent/WO2008147382A1/en,
US-2003044957-A1,Zinc finger proteins for DNA binding and gene regulation in plants ,"Andrew Jamieson, Guofu Li","Andrew Jamieson, Guofu Li",2001-01-22,2002-01-22,2003-03-06,,https://patents.google.com/patent/US20030044957A1/en,https://patentimages.storage.googleapis.com/fb/26/38/2ef9395a9fba0f/US20030044957A1-20030306-D00001.png
CA-2637836-A1,Ang2 and vegf inhibitor combinations ,"Jonathan Oliner, Richard Kendall, Rakesh Kumar, Amgen Inc.","Jonathan Oliner, Richard Kendall, Rakesh Kumar",2006-01-27,2007-01-19,2007-08-09,,https://patents.google.com/patent/CA2637836A1/en,
JP-2008521112-A,Method and device for controlling and entering data ,ギヨ−シオネ、ローランＧＵＹＯＴ−ＳＩＯＮＮＥＳＴ，Ｌａｕｒｅｎｔ,"ギヨ−シオネ、ローラン, マゾーニ、シモーヌ",2004-11-22,2005-11-18,2008-06-19,,https://patents.google.com/patent/JP2008521112A/en,https://patentimages.storage.googleapis.com/d7/14/5e/a31a8cf0efc05a/2008521112-3.png
US-2014109002-A1,Computer device user interface and method for displaying information ,"Square, Inc.","Spencer W. Kimball, James B. McGinnis, Peter D. Mattis",2012-10-15,2013-10-15,2014-04-17,,https://patents.google.com/patent/US20140109002A1/en,https://patentimages.storage.googleapis.com/69/40/5c/bd4e11908b493c/US20140109002A1-20140417-D00000.png
JP-2006527190-A,Polypeptide associated with natriuretic peptides and the identification and use of these ,"サイファージェン  バイオシステムズ  インコーポレイテッド, バイオサイト  インコーポレイテッド","タイ−トン イップ, ケネス  エフ． ビュークラー, エリック  トーマス フォン",2003-04-17,2004-04-19,2006-11-30,,https://patents.google.com/patent/JP2006527190A/en,https://patentimages.storage.googleapis.com/38/6f/53/bff39b7ee3bbdb/2006527190-10.png
US-2018249749-A1,Antioxidant Producing Bacterium and Uses Thereof ,University Of Ottawa,"Chantal Matar, Luc J. Martin",2003-03-13,2018-05-04,2018-09-06,,https://patents.google.com/patent/US20180249749A1/en,https://patentimages.storage.googleapis.com/90/d6/e6/2278c3077f5ee5/US20180249749A1-20180906-D00001.png
CN-110123812-A,Androgen receptor modifier and application thereof ,阿拉贡药品公司,"I.陈, J.H.哈格, E.C.马内瓦, M.R.赫伯特, N.D.史密斯",2013-01-15,2014-01-09,2019-08-16,,https://patents.google.com/patent/CN110123812A/en,
JP-2008542395-A,Regulation of cell barrier dysfunction ,ザ  ユニヴァーシティー  オヴ  シカゴ,"ジョン  シー アルヴァーディー, ジョー  ジー  エヌ ガルシア, パトリック  エイ シングルトン, ジョナサン モス, マーク  ダブリュー リンゲン",2005-06-03,2006-06-05,2008-11-27,,https://patents.google.com/patent/JP2008542395A/en,https://patentimages.storage.googleapis.com/3d/95/63/776ab0261232fc/2008542395-20.png
JP-6159724-B2,Bispecific antibodies and tumor antigens specific for T cell activating antigens and methods of use ,"ロシュ グリクアート アーゲー, ロシュ  グリクアート  アーゲー","ペーター ブルエンカー，, ペーター ブルエンカー，, タニヤ ファウチ，, タニヤ ファウチ，, クリスティアーネ イェーガー，, クリスティアーネ イェーガー，, クリスティアン クライン，, クリスティアン クライン，, パブロ ウマーニャ，, パブロ ウマーニャ，",2011-08-23,2012-08-21,2017-07-05,2017-07-05,https://patents.google.com/patent/JP6159724B2/en,
CA-2777661-C,Multicomponent vaccines ,"Inhibitex, Inc., Joseph M. Patti, Timothy J. Foster, Magnus A. Hook, The Texas A & M University System, The Provost Fellows And Scholars Of The College Of The Holy And Undivided Trinity Of Queen Elizabeth Near Dublin","Joseph M. Patti, Timothy J. Foster, Magnus A. Hook",1998-08-31,1999-08-31,2014-10-21,2014-10-21,https://patents.google.com/patent/CA2777661C/en,
US-2011185442-A1,Method of generating transgenic organisms using transposons ,"Minos Biosystems Limited, Erasmus University Medical Center Rotterdam","Charalambos Savakis, Frank Grosveld",2000-03-21,2009-12-23,2011-07-28,,https://patents.google.com/patent/US20110185442A1/en,https://patentimages.storage.googleapis.com/0b/b7/2f/fa2286f55a3522/US20110185442A1-20110728-D00000.png
US-2005215562-A1,Methods for treating protein aggregation disorders ,"Patrick Tremblay, Mclaughlin Richard","Patrick Tremblay, Richard McLaughlin",2003-06-23,2004-06-22,2005-09-29,,https://patents.google.com/patent/US20050215562A1/en,https://patentimages.storage.googleapis.com/35/08/7a/7ce322b01eff74/US20050215562A1-20050929-D00000.png
US-2013177912-A1,Selective oxidation of 5-methylcytosine by tet-family proteins ,"The U.S.A , as Represented by the Secretary, Department of Health & Human Services, Children's Medical Center Corporation","Anjana Rao, Mamta Tahiliani, Kian Peng Koh, Suneet Agarwal, Aravind Iyer",2008-09-26,2013-03-12,2013-07-11,,https://patents.google.com/patent/US20130177912A1/en,https://patentimages.storage.googleapis.com/56/ab/88/9983725085ba07/US20130177912A1-20130711-D00001.png
CN-105111312-B,Has the function of the anti-CD19 antibody of the glycosylation feature of ADCC and CDC and improvement ,国际药物发展生物技术公司,"C·韦尔莫-德罗什, B·S·维耶尔莫",2010-07-19,2011-07-18,2018-12-14,2018-12-14,https://patents.google.com/patent/CN105111312B/en,
US-2010150956-A1,Multicomponent vaccines ,"Patti Joseph M, Foster Timothy J, Magnus Hook","Joseph M. Patti, Timothy J. Foster, Magnus Hook",1998-08-31,2010-02-23,2010-06-17,,https://patents.google.com/patent/US20100150956A1/en,https://patentimages.storage.googleapis.com/ea/7c/ef/5fb0821080990e/US20100150956A1-20100617-D00001.png
EP-1750723-A1,Carotenoid analogs or derivatives for the inhibition and amelioration of inflammation ,"Hawaii Biotech, Inc.","Samuel F. Lockwood, Sean O'malley, Henry Jackson, Geoff Nadolski",2004-04-14,2005-04-14,2007-02-14,,https://patents.google.com/patent/EP1750723A1/en,
KR-20170129787-A,Combinations of peptides and peptides for use in immunotherapy for various tumors ,이매틱스 바이오테크놀로지스 게엠베하,"안드레아 마르, 레아 스테베르만, 토니 바인쉥크, 올리버 슈르, 옌스 프리췌, 하르프레트 싱",2015-03-27,2016-03-24,2017-11-27,,https://patents.google.com/patent/KR20170129787A/en,https://patentimages.storage.googleapis.com/ea/ed/64/61c30db9e65b51/pct00044.png
JP-2007527001-A,Diagnostic marker for cancer ,プロテオジス  アクチェンゲゼルシャフト,"ミヒャエル カーヒル, ヘルムート クロッカー, ヘルマン ロガッチェ",2004-02-16,2005-02-16,2007-09-20,,https://patents.google.com/patent/JP2007527001A/en,https://patentimages.storage.googleapis.com/f8/bb/d8/6920cf8f8954a0/2007527001-4.png
WO-9639430-A1,TGF-β FUSION PROTEINS AND THEIR USE IN WOUND HEALING ,"Hall Frederick L, Nimni Marcel E, Tuan Tai Lan, Lintao Wu, Cheung David T","Frederick L. Hall, Marcel E. Nimni, Tai-Lan Tuan, Lintao Wu, David T. Cheung",1995-06-06,1996-06-05,1996-12-12,,https://patents.google.com/patent/WO1996039430A1/en,
US-2008163202-A1,Server Including Components for Accessing and Displaying Internet Content and for Providing Same to a Client ,"Mainstream Scientific, Llc","John Albert Kembel, George Andrew Kembel, Daniel S. Kim, John Russell, Jake Wobbrock, Geoffrey S. Kembel, Jeremy L. Kembel, Joseph A. Bella, Sridhar T. Devulkar, Mark Wallin",1999-04-26,2007-10-31,2008-07-03,,https://patents.google.com/patent/US20080163202A1/en,
EP-2427207-A2,Fgf21 mutants and uses thereof ,"Amgen, Inc","Edward John Belouski, Murielle Marie Ellison, Agnes Eva Hamburger, Randy Ira Hecht, Yue-Sheng Li, Mark Leo Michaels, Jeonghoon Sun, Jing Xu",2009-05-05,2010-05-04,2012-03-14,,https://patents.google.com/patent/EP2427207A2/en,
CA-2430454-A1,Cddo-compounds and combination therapies thereof ,"Board Of Regents, The University Of Texas System, Marina Konopleva, Michael Andreef, Michael Sporn, The Trustees Of Darmouth College","Marina Konopleva, Michael Andreef, Michael Sporn",2000-11-28,2001-11-28,2002-06-20,,https://patents.google.com/patent/CA2430454A1/en,
JP-2011050385-A,Cell of cardiomyocyte lineage produced from human pluripotent stem cell ,"Geron Corp, ジェロン・コーポレーションＧｅｒｏｎ  Ｃｏｒｐｏｒａｔｉｏｎ","Chunhui Xu, チュンフイ フ",2001-07-12,2010-09-29,2011-03-17,,https://patents.google.com/patent/JP2011050385A/en,https://patentimages.storage.googleapis.com/ef/5b/a0/b448c69b629eb8/2011050385-6.png
WO-0202639-A2,Human ion channels ,Pharmacia & Upjohn Company,"Christopher W. Benjamin, Steven L. Roberds, Alla M. Karnovsky, Cara L. Ruble",2000-07-05,2001-07-05,2002-01-10,,https://patents.google.com/patent/WO2002002639A2/en,
CN-100376557-C,Quinoline derivatives as ligands for the neuropeptide y receptor ,霍夫曼-拉罗奇有限公司,"维尔纳·奈德哈特, 维尔纳·米勒, 菲利普·普夫利格, 让-马克·普朗谢",2001-05-21,2002-05-08,2008-03-26,2008-03-26,https://patents.google.com/patent/CN100376557C/en,
US-7943334-B2,Method of detecting allergen ,"Prima Meat Packers, Ltd.","Masanobu Akimoto, Shigeki Katou, Makoto Namioka",2004-03-05,2005-03-04,2011-05-17,2011-05-17,https://patents.google.com/patent/US7943334B2/en,https://patentimages.storage.googleapis.com/96/4d/b8/a6245596cbd1cd/US07943334-20110517-D00001.png
AU-2016266009-B2,"Method for the diagnosis, prognosis and treatment of breast cancer metastasis ","Fundacio Institut De Recerca Biomedica (Irb Barcelona), Institutcio Catalana De Recerca I Estudis","Anna Arnal Estape, Roger Gomis Cabre, Milica Pavlovic, Maria Tarragona Sunyer",2010-10-06,2016-11-30,2018-12-06,2018-12-06,https://patents.google.com/patent/AU2016266009B2/en,
CN-102224722-B,A system and method for rate limiting target ,思杰系统有限公司,"S·卡马斯, P·凯玛尼",2008-11-25,2009-11-24,2016-08-03,2016-08-03,https://patents.google.com/patent/CN102224722B/en,
JP-2001524100-A,Valid rn ase l activator and antisense oligonucleotides for treatment of telomerase-expressing malignancies ,"ザ  クリーブランド  クリニック  ファウンデーション, ナショナル  インスティチューツ  オブ  ヘルス","コウェル，ジョン，ケイ．, コンドウ，セイジ, シルヴァーマン，ロバート，エイチ．, トレンス，ポール，エフ．, リー，グイイン",1997-04-21,1998-04-13,2001-11-27,,https://patents.google.com/patent/JP2001524100A/en,
US-7064318-B2,Methods and apparatus for aligning ion optics in a mass spectrometer ,Thermo Finnigan Llc,Huy A. Bui,2003-08-26,2003-08-26,2006-06-20,2006-06-20,https://patents.google.com/patent/US7064318B2/en,https://patentimages.storage.googleapis.com/US7064318B2/US07064318-20060620-D00000.png
EP-1047442-A1,Bone morphogenetic proteins and their use in bone growth ,"Frederick L. Hall, Bo Han, Marcel E. Nimni, Edwin C. Shors, Lingtao Wu","Frederick L. Hall, Bo Han, Marcel E. Nimni, Edwin C. Shors, Lingtao Wu",1997-06-03,1998-06-02,2000-11-02,,https://patents.google.com/patent/EP1047442A1/en,
JP-4458551-B2,"Mammalian apoptosis inhibitory protein gene family, primers, probes and detection methods ",ユニバーシティー  オブ  オタワＵｎｉｖｅｒｓｉｔｙ  ｏｆ  Ｏｔｔａｗａ,"ロバート  ジー． コルネラック, ステファン バード, アレクサンダー  イー． マッケンジー, ピーター リストン",1995-08-04,1996-08-05,2010-04-28,2010-04-28,https://patents.google.com/patent/JP4458551B2/en,https://patentimages.storage.googleapis.com/3e/30/6a/8557ee5c58972e/0004458551-75.png
US-9040903-B2,Precursor selection using an artificial intelligence algorithm increases proteomic sample coverage and reproducibility ,Wisconsin Alumni Research Foundation,"Joshua J. Coon, Michael S. Westphall, Graeme McAlister, Derek Bailey",2011-04-04,2012-04-03,2015-05-26,2015-05-26,https://patents.google.com/patent/US9040903B2/en,https://patentimages.storage.googleapis.com/6b/12/f5/5b66bc26f2f3e6/US09040903-20150526-D00000.png
JP-2017507990-A,Heterocyclic compounds for use in the treatment of PI3K-gamma mediated disorders ,"インフィニティー ファーマシューティカルズ， インコーポレイテッド, インフィニティー  ファーマシューティカルズ，  インコーポレイテッド","エル．クトク ジェフリ, エル．クトク ジェフリ, ジー．ウィンクラー デビッド, ジー．ウィンクラー デビッド, ジェイ．パロムベラ ビト, ジェイ．パロムベラ ビト",2014-03-19,2015-03-18,2017-03-23,,https://patents.google.com/patent/JP2017507990A/en,https://patentimages.storage.googleapis.com/a7/54/3f/5a1818643350b3/2017507990-329.png
US-2001007775-A1,System and method for programmable illumination pattern generation ,"Michael Seul, Chau Chiu Wo","Michael Seul, Chiu Chau",1996-04-25,2001-01-24,2001-07-12,,https://patents.google.com/patent/US20010007775A1/en,https://patentimages.storage.googleapis.com/ed/06/0b/d0f0fffbf2fa0d/US20010007775A1-20010712-D00001.png
EP-2104682-B1,Diagnosis and treatment of alzheimer's and other neurodementing diseases ,"Michael Bacher, Dodel, Richhard","Richard Dodel, Michael Bacher, Michael Przybylski, Raluca Stefanescu, Marilena Manea",2007-01-11,2008-01-11,2016-09-21,2016-09-21,https://patents.google.com/patent/EP2104682B1/en,https://patentimages.storage.googleapis.com/0a/2d/8a/7cc4c6ca26fe43/imgf0001.png
US-7622503-B2,Selective androgen receptor modulators and methods of use thereof ,University Of Tennessee Research Foundation,"James T. Dalton, Duane D. Miller, Karen A. Veverka",2000-08-24,2005-06-07,2009-11-24,2009-11-24,https://patents.google.com/patent/US7622503B2/en,
US-5550183-A,Metal-peptide compositions and methods for stimulating hair growth ,Procyte Corporation,Loren R. Pickart,1985-02-08,1995-03-07,1996-08-27,1996-08-27,https://patents.google.com/patent/US5550183A/en,https://patentimages.storage.googleapis.com/5a/f8/8f/8b8e531f94809e/US5550183-drawings-page-2.png
CN-1231872-C,Video information intelligent managements system ,传感电子公司,"戴维·R·马克迈克, 帕特里克·O·努纳里, 查尔斯·P·威尔逊, 哥尔哈德·J·温特尔, 哈里·E·克莱恩, 威廉·T·恩古阳, 森·林－柳, 林恩·恩古阳, 亚历克斯·K·奥耶昂, 小克里斯·H·帕德森, 戈登·W·史密斯, 戴维·J·奥斯里, 舍温·圣－舒·王",1996-10-31,1999-10-20,2005-12-14,2005-12-14,https://patents.google.com/patent/CN1231872C/en,
AU-2006210848-B2,Compositions and methods for treating fibrotic disorders ,Amgen Inc.,"Michael R. Comeau, David R. Fitzpatrick",2005-02-01,2006-02-01,2009-10-22,2009-10-22,https://patents.google.com/patent/AU2006210848B2/en,
CA-2295762-A1,Novel cycloalkyl substituted imidazoles ,"Ravi Shanker Garigipati, Jeffrey Charles Boehm, Jerry Leroy Adams, Smithkline Beecham Corporation, Margaret Sorenson","Ravi Shanker Garigipati, Jeffrey Charles Boehm, Jerry Leroy Adams, Margaret Sorenson",1997-07-02,1998-07-01,1999-01-14,,https://patents.google.com/patent/CA2295762A1/en,
US-6455589-B1,Primary N-hydroxylamines ,The Regents Of The University Of California,"Bruce N. Ames, Hani Atamna",1999-10-28,1999-10-28,2002-09-24,2002-09-24,https://patents.google.com/patent/US6455589B1/en,
US-2004072372-A1,System and method for programmable illumination pattern generation ,"Michael Seul, Chau Chiu Wo","Michael Seul, Chiu Chau",1996-04-25,2003-07-21,2004-04-15,,https://patents.google.com/patent/US20040072372A1/en,https://patentimages.storage.googleapis.com/a0/d6/d6/4228b5d2549f65/US20040072372A1-20040415-D00001.png
US-6472204-B1,"Methods for retroviral mediated gene transfer employing molecules, or mixtures thereof, containing retroviral binding domains and target cell binding domains ","Kiyozo Asada, Takashi Uemori, Takashi Ueno, Nobuto Koyama, Kimakazu Hasino, Ikunoshin Kato","Kiyozo Asada, Takashi Uemori, Takashi Ueno, Nobuto Koyama, Kimakazu Hasino, Ikunoshin Kato",1995-11-13,1996-11-07,2002-10-29,2002-10-29,https://patents.google.com/patent/US6472204B1/en,https://patentimages.storage.googleapis.com/a2/f2/79/78fdc41a8f7452/US6472204-drawings-page-3.png
JP-2951345-B2,Cosmetic and skin treatment composition ,プロサイト  コーポレイション,アール． ピッカート，ローレン,1988-06-16,1989-06-14,1999-09-20,1999-09-20,https://patents.google.com/patent/JP2951345B2/en,
US-6621823-B1,Network appliance combining asychronous notification with interactive network transfer protocol server ,"Hewlett-Packard Development Company, L.P.","Peter E. Mellquist, Craig A. VanZante, Jim A. Baumgartner",1998-12-21,1998-12-21,2003-09-16,2003-09-16,https://patents.google.com/patent/US6621823B1/en,https://patentimages.storage.googleapis.com/fd/22/bf/41249b7d1b2e32/US6621823-drawings-page-2.png
BR-PI0711355-A2,"polypeptide, binding body, antibody, nucleic acid, cell, cell culture, method for producing an antibody, pharmaceutical composition, use of a polypeptide, binding body, antibody, nucleic acid and / or cell, and, methods for providing an individual with antibody and for selecting an athuman cd40 antagonist antibody ",Pangenetics Bv,"Hartog Marcel Theodorus Den, Neerven Ruprecht Jules Joost Van, Kevin Stuart Johnson, Robert Duncan Casson",2006-05-09,2007-05-09,2011-09-27,,https://patents.google.com/patent/BRPI0711355A2/en,
JP-2005021172-A,Beta-lactamase reporter gene ,"Regents Of The Univ Of California, ザ  リージェンツ  オブ  ザ  ユニバーシティー  オブ  カリフォルニア","Roger Y Tsien, Gregor Zlokarnik, ワイ． ツィーン，ロジャー, ツロカルニック，グレゴール",1995-03-20,2004-10-20,2005-01-27,,https://patents.google.com/patent/JP2005021172A/en,https://patentimages.storage.googleapis.com/8f/e9/d5/baf71f8f61a747/2005021172-35.png
KR-20030092051-A,Nucleic acid vaccines for prevention of flaviviurs infection ,"더 거버먼트 오브 더 유나이티드 스테이츠 오브 아메리카, 애즈 레프리젠티드 바이 더 세크러테리, 디파트먼트 오브 헬쓰 앤드 휴먼 서비시즈, 센터스 포 디지즈 컨트롤 앤드 프리벤션",창궝-젠,2001-04-04,2002-04-04,2003-12-03,,https://patents.google.com/patent/KR20030092051A/en,
US-2003221185-A1,Displaying variable usage while debugging ,International Business Machines Corporation,"Cary Bates, Steven Halverson, John Santosuosso",2002-05-21,2002-05-21,2003-11-27,,https://patents.google.com/patent/US20030221185A1/en,https://patentimages.storage.googleapis.com/20/fe/90/ec5ea94799b72c/US20030221185A1-20031127-D00000.png
